Position,Company,Location,Job Type,Posting Date
Compliance Officer,Ministry of Health,"Lilongwe, Malawi",Full Time,2024-04-20
Data Management Officer,DAI,"Lilongwe, Malawi",Full Time,2024-04-20
Business Development Officer,Mzuzu University,"Mzuzu, Malawi",Full Time,2024-04-20
Finance Manager,Public Procurement & Disposal of Assets Authority (PPDA),"Lilongwe, Malawi",Full Time,2024-04-20
Community Mobilizer,CRECCOM,"Mulanje, Malawi",Full Time,2024-04-20
Horticulture Supervisor-Intern,Saint John of God Hospitaller Services,"Mzuzu, Malawi",Internship,2024-04-20
Data Entry Clerk – Intern,Saint John of God Hospitaller Services,"Mzuzu, Malawi",Internship,2024-04-20
Accountant,Saint John of God Hospitaller Services,"Lilongwe, Malawi",Full Time,2024-04-20
Estates Management Officer,Saint John of God Hospitaller Services,"Mzuzu, Malawi",Full Time,2024-04-20
Project Manager,Ulalo,"Mzuzu, Malawi",Full Time,2024-04-20
Project Officer,Ulalo,"Mzuzu, Malawi",Full Time,2024-04-20
Driver,Ulalo,"Mzuzu, Malawi",Full Time,2024-04-20
Vice Chancellor,DMI-St. John the Baptist University,Malawi,Full Time,2024-04-20
Vocational Skills Technical Instructors,Kwithu Women's Group,"Mzuzu, Malawi",Full Time,2024-04-20
Vocational Skills Training Coordinator,Kwithu Women's Group,"Mzuzu, Malawi",Full Time,2024-04-20
Key Account Representative,inq. Digital Ltd,"Blantyre, Malawi",Full Time,2024-04-20
Finance Manager,African Vision Malawi,"Lilongwe, Malawi",Full Time,2024-04-19
Sales and Marketing Officer,Lilongwe Water Board,"Lilongwe, Malawi",Full Time,2024-04-19
Sales Representative,Lilongwe Water Board,"Lilongwe, Malawi",Full Time,2024-04-19
Accountant,Lilongwe Water Board,"Lilongwe, Malawi",Full Time,2024-04-19
Assistant Accountant (Financial Reporting),Lilongwe Water Board,"Lilongwe, Malawi",Full Time,2024-04-19
Assistant Accountant (Costing),Lilongwe Water Board,"Lilongwe, Malawi",Full Time,2024-04-19
Customer Care Assistant,Lilongwe Water Board,"Lilongwe, Malawi",Full Time,2024-04-19
Assistant Procurement Officer,Lilongwe Water Board,"Lilongwe, Malawi",Full Time,2024-04-19
Warehouse Assistant,Lilongwe Water Board,"Lilongwe, Malawi",Full Time,2024-04-19
Bottling Unit Manager,Lilongwe Water Board,"Lilongwe, Malawi",Full Time,2024-04-19
Plant Engineer,Lilongwe Water Board,"Lilongwe, Malawi",Full Time,2024-04-19
Water Quality Technician,Lilongwe Water Board,"Lilongwe, Malawi",Full Time,2024-04-19
Plant Technician (General Fitter),Lilongwe Water Board,"Lilongwe, Malawi",Full Time,2024-04-19
Plant Technician (Instrumentation),Lilongwe Water Board,"Lilongwe, Malawi",Full Time,2024-04-19
Plant Operator,Lilongwe Water Board,"Lilongwe, Malawi",Full Time,2024-04-19
Human Resources Business Partner,NICO Life Insurance Company Limited,"Blantyre, Malawi",Full Time,2024-04-19
Business Development Manager,NICO Life Insurance Company Limited,"Blantyre, Malawi",Full Time,2024-04-19
Internal Auditor,Smile Life Insurance Company Limited,"Blantyre, Malawi",Full Time,2024-04-19
Surveillance Control Room Operator,Limbe Leaf Tobacco Company Limited,"Lilongwe, Malawi",Full Time,2024-04-19
Plumber,Malawi Housing Corporation,"Blantyre, Malawi",Full Time,2024-04-19
Carpenter (2),Malawi Housing Corporation,"Blantyre, Malawi",Full Time,2024-04-19
Electrician,Malawi Housing Corporation,"Blantyre, Malawi",Full Time,2024-04-19
Welder,Malawi Housing Corporation,"Blantyre, Malawi",Full Time,2024-04-19
Wood Machinist,Malawi Housing Corporation,"Blantyre, Malawi",Full Time,2024-04-19
Drain Cleaner,Malawi Housing Corporation,"Blantyre, Malawi",Full Time,2024-04-19
Project Officer Sr,Catholic Relief Services,"Lilongwe, Malawi",Full Time,2024-04-18
Program Manager,Catholic Relief Services,"Lilongwe, Malawi",Full Time,2024-04-18
Technical Advisor II-MEAL,Catholic Relief Services,"Lilongwe, Malawi",Full Time,2024-04-18
GBV Analyst,United Nations Population Fund (UNFPA),"Machinga, Malawi",Consultancy,2024-04-18
Early Childhood Development Specialist (Re-opened),UNICEF Malawi,"Lilongwe, Malawi",Full Time,2024-04-18
Logistics Assistant – Funds Management,World Food Programme,"Lilongwe, Malawi",Full Time,2024-04-18
Operations Manager,UN Women,"Lilongwe, Malawi",Fixed Contract,2024-04-18
Legal and Contracts Manager,Self Help Africa (SHA) Malawi,"Lilongwe, Malawi",Full Time,2024-04-18
Assistant Project Engineer – Irrigation,Agricultural Commercialisation (AGCOM) Project,"Lilongwe, Malawi",Full Time,2024-04-18
Assistant Accountant (2 Positions),Agricultural Commercialisation (AGCOM) Project,"Lilongwe, Malawi",Full Time,2024-04-18
Institution Development Officer (12 Positions),Agricultural Commercialisation (AGCOM) Project,"Lilongwe, Malawi",Full Time,2024-04-18
Agribusiness Officer (12 Positions),Agricultural Commercialisation (AGCOM) Project,"Lilongwe, Malawi",Full Time,2024-04-18
Monitoring and Evaluation Officers (2 Positions),Agricultural Commercialisation (AGCOM) Project,"Lilongwe, Malawi",Fixed Contract,2024-04-18
Logistics Officer,World Food Programme,"Lilongwe, Malawi",Fixed Contract,2024-04-18
Transport Specialist,World Bank Group,"Lilongwe, Malawi",Full Time,2024-04-18
Procurement and Asset Disposal Manager,ADMARC Limited,"Blantyre, Malawi",Full Time,2024-04-18
Deputy Registrar (Human Resource Management),Malawi University of Business and Applied Sciences,"Blantyre, Malawi",Full Time,2024-04-18
"Executive Dean, School of Business and Economic Sciences",Malawi University of Business and Applied Sciences,"Blantyre, Malawi",Full Time,2024-04-18
Head of Academic Department (Architecture),Malawi University of Business and Applied Sciences,"Blantyre, Malawi",Fixed Contract,2024-04-18
Management Trainee,Serendib Hotels and Resorts,"Blantyre, Malawi",Internship,2024-04-18
Head Guard,Pyxus Agriculture Limited,"Lilongwe, Malawi",Full Time,2024-04-18
Community Liaison Officer,Kasinthula Cane Growers Limited (KCGL),"Chikwawa, Malawi",Full Time,2024-04-18
Projects Analyst,Matex International,"Lilongwe, Malawi",Full Time,2024-04-18
Enrolled Nurse,Right To Care,Mzuzu and Ntchisi,Full Time,2024-04-18
Human Resource Associate,United Nations Population Fund (UNFPA),"Lilongwe, Malawi",Full Time,2024-04-17
District Coordinator,Pakachere Institute of Health and Development Communication,Zomba and Machinga,Full Time,2024-04-17
HTS Nurse,Pakachere Institute of Health and Development Communication,Zomba and Machinga,Full Time,2024-04-17
